id|lepname
01|Black Country
02|Buckinghamshire Thames Valley
03|Cheshire & Warrington
04|Coast to Capital
05|Cornwall & the Isles of Scilly
06|Coventry & Warwickshire
07|Cumbria
08|Derby, Derbyshire, Nottingham & Nottinghamshire
09|Dorset
10|Enterprise M3
11|Gloucestershire
12|Greater Birmingham & Solihull
13|Greater Cambridge & Greater Peterborough
14|Greater Lincolnshire
15|Greater Manchester
16|Heart of the South West
17|Hertfordshire
18|Humber
19|Lancashire
20|Leeds City Region
21|Leicester & Leicestershire
22|Liverpool City Region
23|London
24|New Anglia
25|North Eastern
26|Northamptonshire
27|Oxfordshire LEP
28|Sheffield City Region
29|Solent
30|South East
31|South East Midlands
32|Stoke-on-Trent & Staffordshire
33|Swindon & Wiltshire
34|Tees Valley
35|Thames Valley Berkshire
36|The Marches
37|West of England
38|Worcestershire
39|York & North Yorkshire