npid|np|lad
1|Greater Manchester Combined Authority|Bolton
1|Greater Manchester Combined Authority|Bury
1|Greater Manchester Combined Authority|Oldham
1|Greater Manchester Combined Authority|Manchester
1|Greater Manchester Combined Authority|Rochdale
1|Greater Manchester Combined Authority|Salford
1|Greater Manchester Combined Authority|Stockport
1|Greater Manchester Combined Authority|Tameside
1|Greater Manchester Combined Authority|Trafford
1|Greater Manchester Combined Authority|Wigan
2|Liverpool City Region Combined Authority|Halton
2|Liverpool City Region Combined Authority|Knowsley
2|Liverpool City Region Combined Authority|Liverpool
2|Liverpool City Region Combined Authority|Sefton
2|Liverpool City Region Combined Authority|St. Helens
2|Liverpool City Region Combined Authority|Wirral
3|North East Combined Authority|County Durham
3|North East Combined Authority|Gateshead
3|North East Combined Authority|Newcastle upon Tyne
3|North East Combined Authority|North Tyneside
3|North East Combined Authority|Northumberland
3|North East Combined Authority|South Tyneside
3|North East Combined Authority|Sunderland
4|Sheffield City Region Combined Authority|Barnsley
4|Sheffield City Region Combined Authority|Doncaster
4|Sheffield City Region Combined Authority|Rotherham
4|Sheffield City Region Combined Authority|Sheffield
5|West Yorkshire Combined Authority|Bradford
5|West Yorkshire Combined Authority|Calderdale
5|West Yorkshire Combined Authority|Kirklees
5|West Yorkshire Combined Authority|Leeds
5|West Yorkshire Combined Authority|Wakefield
6|Hull City Region|East Riding of Yorkshire
6|Hull City Region|Kingston upon Hull, City of
6|Hull City Region|North Lincolnshire
6|Hull City Region|North East Lincolnshire